number_new_species	year
1	1864
0	1973
	1975
1	1979
1	1986
10	1991
0	1992
0	1993
3	1995
0	1995
0	1996
0	1996
2	1997
0	1998
1	1998
0	1999
0	2000
2	2001
0	2002
1	2002
0	2003
1	2005
1	2006
1	2006
3	2007
2	2007
0	2008
2	2009
1	2009
1	2009
0	2009
1	2010
0	2010
0	2010
0	2010
0	2010
1	2010
1	2011
	2011
1	2012
0	2012
2	2012
2	2012
2	2013
3	2013
0	2013
1	2013
1	2013
1	2013
1	2013
1	2014
0	2014
1	2014
1	2014
0	2014
7	2014
0	2015
0	2015
	2015
0	2015
1	2015
1	2015
	2015
0	2015
4	2015
0	2016
7	2016
0	2016
0	2016
2	2017
4	2017
0	2017
0	2018
0	2018
1	2018
1	2018
0	2019
0	2019
0	2019
0	2019
1	2019
1	2019
0	2019
2	2020
0	2020
1	2020
1	2020
0	2020
0	2021
1	2021
25	2021
0	2021
3	2021
0	2021
0	2021
0	2022
1	2022
1	2022
0	2022
1	2022
0	2022
