Newick_label	Nematode_clade
Ficus_abutilifolia_Galoglychia_Urostigma	Clade V
Ficus_altissima_Conosycea_Urostigma	Clade IV
Ficus_aurea_Americana_Urostigma	Clade IV
Ficus_auriculata_Sycomorus_Sycomorus	Clade IV
Ficus_benghalensis_Conosycea_Urostigma	Clade IV
Ficus_benjamina_Conosycea_Urostigma	Clade IV
Ficus_bullenei_Americana_Urostigma	Clade IV
Ficus_burkei_Galoglychia_Urostigma	Both
Ficus_carica_Frutescentiae_Ficus	Clade IV
Ficus_citrifolia_Americana_Urostigma	Both
Ficus_colubrinae_Americana_Urostigma	Both
Ficus_congesta_Sycocarpus_Sycomorus	Clade IV
Ficus_costaricana_Americana_Urostigma	Clade IV
Ficus_craterostoma_Galoglychia_Urostigma	Unknown
Ficus_dugandii_Americana_Urostigma	Both
Ficus_fistulosa_Sycocarpus_Sycomorus	Clade IV
Ficus_glabrata_Pharmacosycea_Pharmacosycea	Clade IV
Ficus_glumosa_Galoglychia_Urostigma	Clade IV
Ficus_hainanensis_Sycomorus_Sycomorus	Clade IV
Ficus_hirta_Eriosycea_Ficus	Clade IV
Ficus_hispida_Sycocarpus_Sycomorus	Both
Ficus_ingens_Urostigma_Urostigma	Clade V
Ficus_insipida_Pharmacosycea_Pharmacosycea	Clade IV
Ficus_lutea_Galoglychia_Urostigma	Clade IV
Ficus_macrophylla_Malvanthera_Urostigma	Clade IV
Ficus_mauritiana_Sycomorus_Sycomorus	Clade V
Ficus_maxima_Pharmacosycea_Pharmacosycea	Both
Ficus_natalensis_Galoglychia_Urostigma	Clade IV
Ficus_nymphaeifolia_Americana_Urostigma	Clade V
Ficus_obliqua_Malvanthera_Urostigma	Clade IV
Ficus_obtusifolia_Americana_Urostigma	Both
Ficus_oligodon_Sycomorus_Sycomorus	Clade IV
Ficus_opposita_Sycidium_Sycidium	Clade IV
Ficus_paraensis_Americana_Urostigma	Both
Ficus_pertusa_Americana_Urostigma	Both
Ficus_popenoei_Americana_Urostigma	Both
Ficus_racemosa_Sycomorus_Sycomorus	Both
Ficus_religiosa_Urostigma_Urostigma	Both
Ficus_rubiginosa_Malvanthera_Urostigma	Clade IV
Ficus_sansibarica_Galoglychia_Urostigma	Clade V
Ficus_semicordata_Sycomorus_Sycomorus	Clade IV
Ficus_septica_Sycocarpus_Sycomorus	Clade V
Ficus_superba_Urostigma_Urostigma	Clade IV
Ficus_sur_Sycomorus_Sycomorus	Both
Ficus_sycomorus_Sycomorus_Sycomorus	Clade V
Ficus_thonningii_Galoglychia_Urostigma	Clade IV
Ficus_tonduzii_Pharmacosycea_Pharmacosycea	Clade IV
Ficus_trichopoda_Galoglychia_Urostigma	Both
Ficus_trigonata_Americana_Urostigma	Both
Ficus_variegata_Sycomorus_Sycomorus	Both
Ficus_virens_Urostigma_Urostigma	Both
Ficus_watkinsiana_Malvanthera_Urostigma	Clade IV
Ficus_yoponensis_Pharmacosycea_Pharmacosycea	Both
